dataset,seed,policy,latency_ms,utility_gap,feasible,exact_fallback_rate,router_context
mnist_sum_k_v1,3,exact_first,1359.0899086156817,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1792.2505629194152,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,717.0,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1516.2234318464768,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1621.1240930320428,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,924.0,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1513.145018991886,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1260.9112661948946,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1455.7073541200484,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1380.362275093356,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1343.4624489524597,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,967.1206498331592,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1403.5030864432326,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1128.6915170668026,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1804.9638668035616,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1508.9650680270872,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1028.667628621195,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1112.4419502316528,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1443.8892767842717,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,925.3314631143816,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1382.172788486555,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1279.2232976171624,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1797.1911025696058,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1603.4670535529528,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,3,exact_first,1274.4532247068132,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,885.1960250115861,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1971.407095206929,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1393.3899231430846,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1618.8661200355398,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1103.4188069865668,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1432.0688924417814,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1786.1898437053399,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1188.1129831838134,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1756.388020006398,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1389.8061035136705,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1147.138382048683,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,895.8075429344195,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1667.2218556968312,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1658.9835467132032,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1136.98560757876,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1222.5448879137066,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,960.4542136552903,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1207.9393560490541,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1996.2471924856432,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1555.9943670292407,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1825.5281460157082,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1137.49293117296,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,751.5000000000001,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1521.5688117263733,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,5,exact_first,1920.2913106308224,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1423.4812857269064,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1626.8502477581255,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1608.6259030393414,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,973.2914008585559,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1865.5333891506602,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1263.2647768064778,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1923.6206871263323,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1788.218421932499,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1057.3345312593692,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,894.0333211588209,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1066.4223028283386,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,632.0,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1521.7021426939275,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1195.1221434821002,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,853.3806813547432,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1813.8958417419778,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1658.5850775433871,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1954.9810407166437,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1065.286242052842,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1969.1608406391879,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1148.8686092153437,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1630.774536708416,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1565.1871778589034,0.0,1,0,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,2046.505207191976,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,7,exact_first,1097.656942661038,0.0,1,1,tw_only|none|0.05
mnist_sum_k_v1,9,exact_first,1543.1028083313583,0.0,1,1,tw_only|none|0.05
