dataset,seed,instance_id,tw_proxy,backend,runtime_s,model_count,semantic_pass
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_frumpy,0.07463037490379065,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,enum_rewrite_frumpy,0.06105608295183629,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_000,45,comp_trendy_proxy,0.056142708053812385,8,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_frumpy,0.08339991606771946,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,enum_rewrite_frumpy,0.05353354208637029,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_001,32,comp_trendy_proxy,0.07550016604363918,17,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_frumpy,0.08948833297472447,14,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,enum_rewrite_frumpy,0.0639606670010835,14,1
mnist_sum_k_v1,3,mnist_sum_k_v1_3_002,49,comp_trendy_proxy,0.07566737500019372,14,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,enum_frumpy,0.06362108292523772,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,enum_rewrite_frumpy,0.05851362505927682,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_000,23,comp_trendy_proxy,0.06212195893749595,16,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_frumpy,0.06084058294072747,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,enum_rewrite_frumpy,0.07947458291891962,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_001,42,comp_trendy_proxy,0.07197966706007719,12,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,enum_frumpy,0.053679041913710535,10,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,enum_rewrite_frumpy,0.053908083005808294,10,1
mnist_sum_k_v1,5,mnist_sum_k_v1_5_002,11,comp_trendy_proxy,0.0700802500359714,10,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,enum_frumpy,0.050622666953131557,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,enum_rewrite_frumpy,0.05376120796427131,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_000,18,comp_trendy_proxy,0.04822954093106091,7,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_frumpy,0.06882808404043317,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,enum_rewrite_frumpy,0.1018187910085544,14,1
mnist_sum_k_v1,7,mnist_sum_k_v1_7_001,47,comp_trendy_proxy,0.060779792023822665,14,1
