dataset,seed,strategy,cache_hit_rate,false_hit,counterexample_detected,runtime_overhead_ms
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,1,1,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,3,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,1,1,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.75,0,0,13.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
mnist_sum_k_v1,5,raw_text_hash,0.25,0,0,23.0
