feature_set,fallback_policy,uncertainty_tau,mean_regret_s,p95_tail_runtime_s,violation_rate,fallback_activation_rate
tw_only,none,0.05,0.0583649753192322,1.7534844276697756,0.1910384068278805,0.0
tw_only,none,0.1,0.0583649753192322,1.7534844276697756,0.1910384068278805,0.0
tw_only,none,0.2,0.0583649753192322,1.7534844276697756,0.1910384068278805,0.0
tw_only,uncertainty_gate,0.05,0.562142516324161,2.7645000000000004,0.9392603129445235,0.7485064011379801
tw_only,uncertainty_plus_tail_guard,0.05,0.5690129199114637,2.7955,0.9450924608819345,0.7543385490753912
tw_plus_scc,none,0.05,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,none,0.1,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,none,0.2,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,uncertainty_gate,0.05,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,uncertainty_gate,0.1,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,uncertainty_gate,0.2,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.05,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.1,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc,uncertainty_plus_tail_guard,0.2,0.5691875922298115,2.796599999999999,0.4746799431009957,0.0
tw_plus_scc_plus_reuse,none,0.05,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,none,0.1,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,none,0.2,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.05,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.1,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,uncertainty_gate,0.2,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.05,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.1,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
tw_plus_scc_plus_reuse,uncertainty_plus_tail_guard,0.2,0.5691875922298115,2.796599999999999,0.5210526315789473,0.0
full,none,0.05,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,none,0.1,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,none,0.2,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,uncertainty_gate,0.05,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,uncertainty_gate,0.1,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,uncertainty_gate,0.2,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,uncertainty_plus_tail_guard,0.05,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,uncertainty_plus_tail_guard,0.1,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
full,uncertainty_plus_tail_guard,0.2,0.5691875922298115,2.796599999999999,0.5549075391180655,0.0
tw_only,uncertainty_gate,0.1,0.5691875922298115,2.796599999999999,0.9452347083926032,0.7544807965860597
tw_only,uncertainty_gate,0.2,0.5691875922298115,2.796599999999999,0.9452347083926032,0.7544807965860597
tw_only,uncertainty_plus_tail_guard,0.1,0.5691875922298115,2.796599999999999,0.9452347083926032,0.7544807965860597
tw_only,uncertainty_plus_tail_guard,0.2,0.5691875922298115,2.796599999999999,0.9452347083926032,0.7544807965860597
